10000(x),10000(y),IUF-2,IUF-3,IUF-4,IUF-5,IUF-6,IUF-7,IUF-8,IUF-9,IUF-10
4528,7734,1,1,1,1,1,1,1,1,1
9514,9229,1,1,1,1,1,1,1,1,1
3701,4052,1,1,1,1,1,1,1,1,1
1585,9802,1,1,1,1,1,1,1,1,1
6491,1267,1,1,1,1,1,1,1,1,1
7635,5237,1,1,1,1,1,1,1,1,1
9025,5122,1,1,1,1,1,1,1,1,1
1446,6626,1,1,1,1,1,1,1,1,1
8126,3918,1,1,1,1,1,1,1,1,1
1103,8111,1,1,1,1,1,1,1,1,1
3218,8702,1,1,1,1,1,1,1,1,1
5192,6389,1,1,1,1,1,1,1,1,1
1209,3364,1,1,1,1,1,1,1,1,1
7845,1558,1,1,1,1,1,1,1,1,1
4724,7862,1,1,1,1,1,1,1,1,1
2706,7898,1,1,1,1,1,1,1,1,1
627,1885,1,1,1,1,1,1,1,1,1
6309,9885,1,1,1,1,1,1,1,1,1
2422,1081,1,1,1,1,1,1,1,1,1
5921,6504,1,1,1,1,1,1,1,1,1
4783,6662,1,1,1,1,1,1,1,1,1
9673,7781,1,1,1,1,1,1,1,1,1
8584,8854,1,1,1,1,1,1,1,1,1
9395,104,1,1,1,1,1,1,1,1,1
9244,2328,1,1,1,1,1,1,1,1,1
763,6876,1,1,1,1,1,1,1,1,1
343,2881,1,1,1,1,1,1,1,1,1
181,4675,1,1,1,1,1,1,1,1,1
2243,9546,1,1,1,1,1,1,1,1,1
9386,4964,1,1,1,1,1,1,1,1,1
2089,4493,1,1,1,1,1,1,1,1,1
7365,8016,1,1,1,1,1,1,1,1,1
3407,2800,1,1,1,1,1,1,1,1,1
1099,625,1,1,1,1,1,1,1,1,1
8507,5582,1,1,1,1,1,1,1,1,1
2740,5752,1,1,1,1,1,1,1,1,1
8651,8397,1,1,1,1,1,1,1,1,1
5868,6180,1,1,1,1,1,1,1,1,1
5789,3913,1,1,1,1,1,1,1,1,1
1669,2760,1,1,1,1,1,1,1,1,1
8782,9383,1,1,1,1,1,1,1,1,1
8798,4210,1,1,1,1,1,1,1,1,1
7581,3051,1,1,1,1,1,1,1,1,1
8756,7922,1,1,1,1,1,1,1,1,1
2740,3548,2,1,1,1,1,1,1,1,1
6506,8047,2,1,1,1,1,1,1,1,1
5029,1113,2,1,1,1,1,1,1,1,1
924,1331,2,1,1,1,1,1,1,1,1
7797,8000,2,1,1,1,1,1,1,1,1
8652,4677,2,1,1,1,1,1,1,1,1
4827,5433,2,1,1,1,1,1,1,1,1
1681,7881,2,1,1,1,1,1,1,1,1
6733,7904,2,1,1,1,1,1,1,1,1
9462,5964,2,1,1,1,1,1,1,1,1
9125,1397,2,1,1,1,1,1,1,1,1
9640,8963,2,1,1,1,1,1,1,1,1
5222,1458,2,1,1,1,1,1,1,1,1
6785,2076,2,1,1,1,1,1,1,1,1
5384,8661,2,1,1,1,1,1,1,1,1
1919,2830,2,1,1,1,1,1,1,1,1
1111,2519,2,1,1,1,1,1,1,1,1
7676,7513,2,1,1,1,1,1,1,1,1
6690,6150,2,1,1,1,1,1,1,1,1
3001,1212,2,1,1,1,1,1,1,1,1
1287,6131,2,1,1,1,1,1,1,1,1
2017,8694,2,1,1,1,1,1,1,1,1
3533,5891,2,1,1,1,1,1,1,1,1
9763,4609,2,1,1,1,1,1,1,1,1
8009,5938,2,1,1,1,1,1,1,1,1
9825,8689,2,1,1,1,1,1,1,1,1
4132,1444,2,1,1,1,1,1,1,1,1
905,1675,2,1,1,1,1,1,1,1,1
8830,3088,2,1,1,1,1,1,1,1,1
6957,3361,2,1,1,1,1,1,1,1,1
8998,5166,2,1,1,1,1,1,1,1,1
9180,33,2,1,1,1,1,1,1,1,1
9214,9579,2,1,1,1,1,1,1,1,1
1920,8581,2,1,1,1,1,1,1,1,1
657,6203,2,1,1,1,1,1,1,1,1
3076,7226,2,1,1,1,1,1,1,1,1
8024,608,2,1,1,1,1,1,1,1,1
2296,8010,2,1,1,1,1,1,1,1,1
2139,8022,2,1,1,1,1,1,1,1,1
7590,4374,2,1,1,1,1,1,1,1,1
630,6689,2,1,1,1,1,1,1,1,1
7113,7215,2,1,1,1,1,1,1,1,1
6021,2583,2,1,1,1,1,1,1,1,1
2920,8902,2,1,1,1,1,1,1,1,1
6036,618,2,1,1,1,1,1,1,1,1
1657,7835,2,1,1,1,1,1,1,1,1
5428,4462,2,1,1,1,1,1,1,1,1
5047,133,2,1,1,1,1,1,1,1,1
5017,8859,2,1,1,1,1,1,1,1,1
4900,1342,2,1,1,1,1,1,1,1,1
4692,7102,2,1,1,1,1,1,1,1,1
4436,1941,2,1,1,1,1,1,1,1,1
3897,5580,2,1,1,1,1,1,1,1,1
9177,3900,2,1,1,1,1,1,1,1,1
2554,9904,2,1,1,1,1,1,1,1,1
9294,9752,2,1,1,1,1,1,1,1,1
4337,4067,2,1,1,1,1,1,1,1,1
9287,3863,2,1,1,1,1,1,1,1,1
3537,3552,2,1,1,1,1,1,1,1,1
6443,526,2,1,1,1,1,1,1,1,1
7447,48,2,1,1,1,1,1,1,1,1
6420,486,2,1,1,1,1,1,1,1,1
4278,6904,2,1,1,1,1,1,1,1,1
500,2584,2,1,1,1,1,1,1,1,1
115,3771,2,1,1,1,1,1,1,1,1
6480,435,2,1,1,1,1,1,1,1,1
5649,6656,2,1,1,1,1,1,1,1,1
9991,1079,2,1,1,1,1,1,1,1,1
6308,3538,2,1,1,1,1,1,1,1,1
4565,3381,2,1,1,1,1,1,1,1,1
2444,87,2,1,1,1,1,1,1,1,1
3118,7235,2,1,1,1,1,1,1,1,1
3700,962,2,1,1,1,1,1,1,1,1
864,675,2,1,1,1,1,1,1,1,1
6639,7696,2,1,1,1,1,1,1,1,1
3232,672,2,1,1,1,1,1,1,1,1
7111,6352,2,1,1,1,1,1,1,1,1
4141,3357,2,1,1,1,1,1,1,1,1
1977,6210,2,1,1,1,1,1,1,1,1
5392,7056,2,1,1,1,1,1,1,1,1
2005,7231,2,1,1,1,1,1,1,1,1
1654,6250,2,1,1,1,1,1,1,1,1
8532,197,2,1,1,1,1,1,1,1,1
223,4928,2,1,1,1,1,1,1,1,1
4275,7234,2,1,1,1,1,1,1,1,1
9822,1219,2,1,1,1,1,1,1,1,1
9338,4787,2,1,1,1,1,1,1,1,1
6546,429,2,1,1,1,1,1,1,1,1
5719,632,2,1,1,1,1,1,1,1,1
5980,2415,2,1,1,1,1,1,1,1,1
5400,9561,2,1,1,1,1,1,1,1,1
6107,9712,2,1,1,1,1,1,1,1,1
5161,5269,2,1,1,1,1,1,1,1,1
3472,8003,2,1,1,1,1,1,1,1,1
6875,7212,2,1,1,1,1,1,1,1,1
3191,7145,2,1,1,1,1,1,1,1,1
1757,3665,2,1,1,1,1,1,1,1,1
4037,8941,2,1,1,1,1,1,1,1,1
6829,9296,2,1,1,1,1,1,1,1,1
5597,2629,2,1,1,1,1,1,1,1,1
2718,2012,2,1,1,1,1,1,1,1,1
3069,5092,2,1,1,1,1,1,1,1,1
6422,4911,2,1,1,1,1,1,1,1,1
1627,5129,2,1,1,1,1,1,1,1,1
8585,573,2,1,1,1,1,1,1,1,1
1143,1626,2,1,1,1,1,1,1,1,1
2606,4282,2,1,1,1,1,1,1,1,1
264,9951,2,1,1,1,1,1,1,1,1
2686,8758,2,1,1,1,1,1,1,1,1
8426,1875,2,1,1,1,1,1,1,1,1
7316,5441,2,1,1,1,1,1,1,1,1
2166,7039,2,1,1,1,1,1,1,1,1
5109,5308,2,1,1,1,1,1,1,1,1
645,5451,2,1,1,1,1,1,1,1,1
6153,610,2,1,1,1,1,1,1,1,1
8062,8680,2,1,1,1,1,1,1,1,1
8411,2774,2,1,1,1,1,1,1,1,1
2075,2278,2,1,1,1,1,1,1,1,1
2399,8695,2,1,1,1,1,1,1,1,1
5423,5990,2,1,1,1,1,1,1,1,1
3367,9384,2,1,1,1,1,1,1,1,1
3812,7141,2,1,1,1,1,1,1,1,1
8267,9968,2,1,1,1,1,1,1,1,1
9312,4618,2,1,1,1,1,1,1,1,1
9210,1055,2,1,1,1,1,1,1,1,1
389,7713,2,1,1,1,1,1,1,1,1
1324,9992,2,1,1,1,1,1,1,1,1
3394,2139,2,1,1,1,1,1,1,1,1
4879,9116,2,1,1,1,1,1,1,1,1
976,8892,2,1,1,1,1,1,1,1,1
9880,1393,2,1,1,1,1,1,1,1,1
8276,7759,2,1,1,1,1,1,1,1,1
8034,1325,2,1,1,1,1,1,1,1,1
6795,174,2,1,1,1,1,1,1,1,1
2396,4352,2,1,1,1,1,1,1,1,1
116,7658,2,1,1,1,1,1,1,1,1
9016,4736,2,1,1,1,1,1,1,1,1
329,3567,2,1,1,1,1,1,1,1,1
5858,482,2,1,1,1,1,1,1,1,1
360,8504,2,1,1,1,1,1,1,1,1
1608,9870,2,1,1,1,1,1,1,1,1
4636,2870,2,1,1,1,1,1,1,1,1
2005,7681,2,1,1,1,1,1,1,1,1
7021,9,2,1,1,1,1,1,1,1,1
6986,7195,2,1,1,1,1,1,1,1,1
7061,9376,2,1,1,1,1,1,1,1,1
7053,2937,2,1,1,1,1,1,1,1,1
3710,4642,2,1,1,1,1,1,1,1,1
6639,8084,2,1,1,1,1,1,1,1,1
5774,8345,2,1,1,1,1,1,1,1,1
1690,7373,2,1,1,1,1,1,1,1,1
8831,6799,2,1,1,1,1,1,1,1,1
7650,6637,2,1,1,1,1,1,1,1,1
9232,5438,2,1,1,1,1,1,1,1,1
3011,4569,2,1,1,1,1,1,1,1,1
6584,4,2,1,1,1,1,1,1,1,1
8394,6116,2,1,1,1,1,1,1,1,1
5898,4672,2,1,1,1,1,1,1,1,1
9940,1374,2,1,1,1,1,1,1,1,1
4072,5642,2,1,1,1,1,1,1,1,1
7942,8126,2,1,1,1,1,1,1,1,1
6347,8872,2,1,1,1,1,1,1,1,1
3956,9778,2,1,1,1,1,1,1,1,1
5667,1298,2,1,1,1,1,1,1,1,1
8216,4341,2,1,1,1,1,1,1,1,1
5573,2263,2,1,1,1,1,1,1,1,1
2476,7941,2,1,1,1,1,1,1,1,1
763,7481,2,1,1,1,1,1,1,1,1
5197,9843,2,1,1,1,1,1,1,1,1
3693,1317,2,1,1,1,1,1,1,1,1
2938,2639,2,1,1,1,1,1,1,1,1
6514,8964,2,1,1,1,1,1,1,1,1
2067,935,2,1,1,1,1,1,1,1,1
9874,5012,2,1,1,1,1,1,1,1,1
470,9918,2,1,1,1,1,1,1,1,1
6703,5564,2,1,1,1,1,1,1,1,1
5559,854,2,1,1,1,1,1,1,1,1
8286,7582,2,1,1,1,1,1,1,1,1
7013,9443,2,1,1,1,1,1,1,1,1
3059,7587,2,1,1,1,1,1,1,1,1
6893,9860,2,1,1,1,1,1,1,1,1
1336,2618,2,1,1,1,1,1,1,1,1
2585,2885,2,1,1,1,1,1,1,1,1
8690,8526,2,1,1,1,1,1,1,1,1
2393,594,2,1,1,1,1,1,1,1,1
725,2875,2,1,1,1,1,1,1,1,1
9069,415,2,1,1,1,1,1,1,1,1
564,1946,2,1,1,1,1,1,1,1,1
9131,1707,2,1,1,1,1,1,1,1,1
4643,9787,2,1,1,1,1,1,1,1,1
6079,9050,2,1,1,1,1,1,1,1,1
5038,8660,2,1,1,1,1,1,1,1,1
2051,4757,2,1,1,1,1,1,1,1,1
1320,3100,2,1,1,1,1,1,1,1,1
8163,6404,2,1,1,1,1,1,1,1,1
7206,934,2,1,1,1,1,1,1,1,1
489,9228,2,1,1,1,1,1,1,1,1
1151,3299,2,1,1,1,1,1,1,1,1
7149,9799,2,1,1,1,1,1,1,1,1
6513,3531,2,1,1,1,1,1,1,1,1
9476,7202,2,1,1,1,1,1,1,1,1
9236,4272,2,1,1,1,1,1,1,1,1
1380,2605,2,1,1,1,1,1,1,1,1
8332,6267,2,1,1,1,1,1,1,1,1
7305,1346,2,1,1,1,1,1,1,1,1
7093,9084,2,1,1,1,1,1,1,1,1
6037,8372,2,1,1,1,1,1,1,1,1
938,4178,2,1,1,1,1,1,1,1,1
9648,7177,2,1,1,1,1,1,1,1,1
4973,2302,2,1,1,1,1,1,1,1,1
3628,7331,2,1,1,1,1,1,1,1,1
1121,260,2,1,1,1,1,1,1,1,1
4791,4227,2,1,1,1,1,1,1,1,1
1715,4449,2,1,1,1,1,1,1,1,1
1751,1299,2,1,1,1,1,1,1,1,1
6751,4115,2,1,1,1,1,1,1,1,1
1533,8840,2,1,1,1,1,1,1,1,1
983,5675,2,1,1,1,1,1,1,1,1
8026,9592,2,1,1,1,1,1,1,1,1
6433,200,2,1,1,1,1,1,1,1,1
7111,1082,2,1,1,1,1,1,1,1,1
8826,1465,2,1,1,1,1,1,1,1,1
1673,7605,2,1,1,1,1,1,1,1,1
3181,6870,2,1,1,1,1,1,1,1,1
7338,7869,2,1,1,1,1,1,1,1,1
1056,5147,2,1,1,1,1,1,1,1,1
5084,8686,2,1,1,1,1,1,1,1,1
1144,9004,2,1,1,1,1,1,1,1,1
9300,7035,2,1,1,1,1,1,1,1,1
7558,7179,2,1,1,1,1,1,1,1,1
236,6764,2,1,1,1,1,1,1,1,1
2,4029,2,1,1,1,1,1,1,1,1
189,1428,2,1,1,1,1,1,1,1,1
7902,8491,2,1,1,1,1,1,1,1,1
4421,6319,2,1,1,1,1,1,1,1,1
2873,1183,2,1,1,1,1,1,1,1,1
107,4938,2,1,1,1,1,1,1,1,1
7024,136,2,1,1,1,1,1,1,1,1
3648,6769,2,1,1,1,1,1,1,1,1
4612,1699,2,1,1,1,1,1,1,1,1
3159,5783,2,1,1,1,1,1,1,1,1
1215,1119,2,1,1,1,1,1,1,1,1
1848,7652,2,1,1,1,1,1,1,1,1
3023,1411,2,1,1,1,1,1,1,1,1
4031,4996,2,1,1,1,1,1,1,1,1
1484,347,2,1,1,1,1,1,1,1,1
2508,71,2,1,1,1,1,1,1,1,1
4691,7538,2,1,1,1,1,1,1,1,1
3309,4435,2,1,1,1,1,1,1,1,1
5391,2948,2,1,1,1,1,1,1,1,1
383,5590,2,1,1,1,1,1,1,1,1
683,2138,2,1,1,1,1,1,1,1,1
8118,6385,2,1,1,1,1,1,1,1,1
7144,595,2,1,1,1,1,1,1,1,1
1302,8753,2,1,1,1,1,1,1,1,1
3104,4473,2,1,1,1,1,1,1,1,1
6397,7115,2,1,1,1,1,1,1,1,1
3802,9706,2,1,1,1,1,1,1,1,1
8019,5267,2,1,1,1,1,1,1,1,1
8665,4732,2,1,1,1,1,1,1,1,1
9263,172,2,1,1,1,1,1,1,1,1
470,1761,2,1,1,1,1,1,1,1,1
6050,6666,2,1,1,1,1,1,1,1,1
6579,8855,2,1,1,1,1,1,1,1,1
9809,8239,2,1,1,1,1,1,1,1,1
4592,9783,2,1,1,1,1,1,1,1,1
6190,681,2,1,1,1,1,1,1,1,1
5389,3142,2,1,1,1,1,1,1,1,1
1336,8621,2,1,1,1,1,1,1,1,1
7342,2186,2,1,1,1,1,1,1,1,1
6580,3639,2,1,1,1,1,1,1,1,1
4416,1399,2,1,1,1,1,1,1,1,1
2204,4789,2,1,1,1,1,1,1,1,1
4837,9680,2,1,1,1,1,1,1,1,1
9184,1850,2,1,1,1,1,1,1,1,1
3795,8272,2,1,1,1,1,1,1,1,1
4081,49,2,1,1,1,1,1,1,1,1
8008,8713,2,1,1,1,1,1,1,1,1
5400,6516,2,1,1,1,1,1,1,1,1
4425,5123,2,1,1,1,1,1,1,1,1
5963,6509,2,1,1,1,1,1,1,1,1
2719,478,2,1,1,1,1,1,1,1,1
973,3627,2,1,1,1,1,1,1,1,1
3931,4499,2,1,1,1,1,1,1,1,1
2697,6091,2,1,1,1,1,1,1,1,1
6292,1424,2,1,1,1,1,1,1,1,1
7786,7577,2,1,1,1,1,1,1,1,1
7181,4583,2,1,1,1,1,1,1,1,1
1180,2094,2,1,1,1,1,1,1,1,1
1237,5524,2,1,1,1,1,1,1,1,1
4467,5334,2,1,1,1,1,1,1,1,1
404,9262,2,1,1,1,1,1,1,1,1
2785,218,2,1,1,1,1,1,1,1,1
7647,3003,2,1,1,1,1,1,1,1,1
1872,5262,2,1,1,1,1,1,1,1,1
6425,1831,2,1,1,1,1,1,1,1,1
6212,484,2,1,1,1,1,1,1,1,1
8261,6572,2,1,1,1,1,1,1,1,1
7414,2908,2,1,1,1,1,1,1,1,1
8396,2212,2,1,1,1,1,1,1,1,1
6421,7470,2,1,1,1,1,1,1,1,1
3207,8721,2,1,1,1,1,1,1,1,1
8425,418,2,1,1,1,1,1,1,1,1
368,6995,2,1,1,1,1,1,1,1,1
8990,7700,2,1,1,1,1,1,1,1,1
7074,3287,2,1,1,1,1,1,1,1,1
3076,777,2,1,1,1,1,1,1,1,1
9360,9755,2,1,1,1,1,1,1,1,1
9272,838,2,1,1,1,1,1,1,1,1
353,2393,2,1,1,1,1,1,1,1,1
6448,4306,2,1,1,1,1,1,1,1,1
8501,6480,2,1,1,1,1,1,1,1,1
2879,5728,2,1,1,1,1,1,1,1,1
6599,3182,2,1,1,1,1,1,1,1,1
2996,6861,2,1,1,1,1,1,1,1,1
9029,6878,2,1,1,1,1,1,1,1,1
2579,3861,2,1,1,1,1,1,1,1,1
356,5193,2,1,1,1,1,1,1,1,1
6780,961,2,1,1,1,1,1,1,1,1
5459,1799,2,1,1,1,1,1,1,1,1
8400,2197,2,1,1,1,1,1,1,1,1
181,9698,2,1,1,1,1,1,1,1,1
3161,5381,2,1,1,1,1,1,1,1,1
4716,5717,2,1,1,1,1,1,1,1,1
5149,4957,2,1,1,1,1,1,1,1,1
940,6403,2,1,1,1,1,1,1,1,1
6201,4722,2,1,1,1,1,1,1,1,1
6301,5674,2,1,1,1,1,1,1,1,1
1876,9498,2,1,1,1,1,1,1,1,1
963,3017,2,1,1,1,1,1,1,1,1
146,6614,2,1,1,1,1,1,1,1,1
2432,2954,2,1,1,1,1,1,1,1,1
4865,5285,2,1,1,1,1,1,1,1,1
8483,6185,2,1,1,1,1,1,1,1,1
9059,9739,2,1,1,1,1,1,1,1,1
6360,4657,2,1,1,1,1,1,1,1,1
6763,649,2,1,1,1,1,1,1,1,1
3459,2546,2,1,1,1,1,1,1,1,1
2665,1543,2,1,1,1,1,1,1,1,1
5618,9960,2,1,1,1,1,1,1,1,1
2997,9038,2,1,1,1,1,1,1,1,1
2286,2886,2,1,1,1,1,1,1,1,1
6610,3176,2,1,1,1,1,1,1,1,1
9927,3597,2,1,1,1,1,1,1,1,1
8849,3362,2,1,1,1,1,1,1,1,1
4008,7427,2,1,1,1,1,1,1,1,1
4166,3921,2,1,1,1,1,1,1,1,1
1793,4018,2,1,1,1,1,1,1,1,1
8787,5968,2,1,1,1,1,1,1,1,1
2270,2473,2,1,1,1,1,1,1,1,1
3430,6159,2,1,1,1,1,1,1,1,1
7142,5776,2,1,1,1,1,1,1,1,1
2580,3585,2,1,1,1,1,1,1,1,1
3912,8122,2,1,1,1,1,1,1,1,1
8393,7653,2,1,1,1,1,1,1,1,1
4193,4441,2,1,1,1,1,1,1,1,1
8421,6327,2,1,1,1,1,1,1,1,1
5295,6580,2,1,1,1,1,1,1,1,1
1422,987,2,1,1,1,1,1,1,1,1
8920,1837,2,1,1,1,1,1,1,1,1
7511,8477,2,1,1,1,1,1,1,1,1
665,1442,2,1,1,1,1,1,1,1,1
4800,66,2,1,1,1,1,1,1,1,1
7842,6750,2,1,1,1,1,1,1,1,1
2758,7661,2,1,1,1,1,1,1,1,1
3964,8228,2,1,1,1,1,1,1,1,1
9917,764,2,1,1,1,1,1,1,1,1
8794,7563,2,1,1,1,1,1,1,1,1
6985,2225,2,1,1,1,1,1,1,1,1
4701,3631,2,1,1,1,1,1,1,1,1
3929,5751,2,1,1,1,1,1,1,1,1
505,2580,2,1,1,1,1,1,1,1,1
5495,3632,2,1,1,1,1,1,1,1,1
9863,4423,2,1,1,1,1,1,1,1,1
2915,5488,2,1,1,1,1,1,1,1,1
2777,9725,2,1,1,1,1,1,1,1,1
3163,9148,2,1,1,1,1,1,1,1,1
7562,3941,2,1,1,1,1,1,1,1,1
1900,8323,2,1,1,1,1,1,1,1,1
3240,9801,2,1,1,1,1,1,1,1,1
5372,8644,2,1,1,1,1,1,1,1,1
2439,7278,2,1,1,1,1,1,1,1,1
7261,6401,2,1,1,1,1,1,1,1,1
9697,2642,2,1,1,1,1,1,1,1,1
4916,7644,2,1,1,1,1,1,1,1,1
6426,8,2,1,1,1,1,1,1,1,1
4660,7370,2,1,1,1,1,1,1,1,1
8844,4267,2,1,1,1,1,1,1,1,1
7616,9052,2,1,1,1,1,1,1,1,1
8178,8827,2,1,1,1,1,1,1,1,1
1539,2318,2,1,1,1,1,1,1,1,1
2567,6164,2,1,1,1,1,1,1,1,1
6312,3961,2,1,1,1,1,1,1,1,1
9575,5294,2,1,1,1,1,1,1,1,1
2380,5860,2,1,1,1,1,1,1,1,1
2001,4089,2,1,1,1,1,1,1,1,1
4305,3461,2,1,1,1,1,1,1,1,1
196,6410,2,1,1,1,1,1,1,1,1
9068,1494,2,1,1,1,1,1,1,1,1
8467,6717,2,1,1,1,1,1,1,1,1
2766,9090,2,1,1,1,1,1,1,1,1
5745,1868,2,1,1,1,1,1,1,1,1
3681,6960,2,1,1,1,1,1,1,1,1
3547,2859,2,1,1,1,1,1,1,1,1
6279,1415,2,1,1,1,1,1,1,1,1
1915,3800,2,1,1,1,1,1,1,1,1
1329,3916,2,1,1,1,1,1,1,1,1
3769,5316,2,1,1,1,1,1,1,1,1
8283,7601,2,1,1,1,1,1,1,1,1
3662,1743,2,1,1,1,1,1,1,1,1
9350,3976,2,1,1,1,1,1,1,1,1
7336,7787,2,1,1,1,1,1,1,1,1
4988,6032,2,1,1,1,1,1,1,1,1
378,7803,2,1,1,1,1,1,1,1,1
6264,659,2,1,1,1,1,1,1,1,1
9619,627,2,1,1,1,1,1,1,1,1
5359,8243,2,1,1,1,1,1,1,1,1
9967,1135,2,1,1,1,1,1,1,1,1
3996,900,2,1,1,1,1,1,1,1,1
4096,5923,2,1,1,1,1,1,1,1,1
6383,7406,2,1,1,1,1,1,1,1,1
883,4476,2,1,1,1,1,1,1,1,1
5808,6144,2,1,1,1,1,1,1,1,1
3568,9419,2,1,1,1,1,1,1,1,1
1189,2321,2,1,1,1,1,1,1,1,1
3614,1109,2,1,1,1,1,1,1,1,1
2928,5296,2,1,1,1,1,1,1,1,1
3295,9108,2,1,1,1,1,1,1,1,1
5443,2079,2,1,1,1,1,1,1,1,1
6748,4613,2,1,1,1,1,1,1,1,1
6779,2326,2,1,1,1,1,1,1,1,1
129,5241,2,1,1,1,1,1,1,1,1
5864,3855,2,1,1,1,1,1,1,1,1
6936,5274,2,1,1,1,1,1,1,1,1
1023,9188,2,1,1,1,1,1,1,1,1
5121,2969,2,1,1,1,1,1,1,1,1
1002,2466,2,1,1,1,1,1,1,1,1
3425,5466,2,1,1,1,1,1,1,1,1
6215,3,2,1,1,1,1,1,1,1,1
5745,6202,2,1,1,1,1,1,1,1,1
1058,8068,2,1,1,1,1,1,1,1,1
5202,8062,2,2,1,1,1,1,1,1,1
8522,5730,2,2,1,1,1,1,1,1,1
1928,6593,2,2,1,1,1,1,1,1,1
4010,9104,2,2,1,1,1,1,1,1,1
5155,669,2,2,1,1,1,1,1,1,1
3928,1614,2,2,1,1,1,1,1,1,1
2641,6877,2,2,1,1,1,1,1,1,1
1249,7786,2,2,1,1,1,1,1,1,1
5361,4647,2,2,1,1,1,1,1,1,1
9800,4687,2,2,1,1,1,1,1,1,1
3705,4403,2,2,1,1,1,1,1,1,1
1641,3962,2,2,1,1,1,1,1,1,1
147,1583,2,2,1,1,1,1,1,1,1
4051,7209,2,2,1,1,1,1,1,1,1
4002,680,2,2,1,1,1,1,1,1,1
8651,7495,2,2,1,1,1,1,1,1,1
6508,3445,2,2,1,1,1,1,1,1,1
9165,9500,2,2,1,1,1,1,1,1,1
8669,9900,2,2,1,1,1,1,1,1,1
9826,2235,2,2,1,1,1,1,1,1,1
